date,武汉,孝感,黄冈,荆州,襄阳,随州,黄石,宜昌,荆门,鄂州,咸宁,十堰,仙桃,天门,恩施,深圳,广州,珠海,佛山,温州,杭州,宁波,台州,金华,信阳,南阳,郑州,驻马店,商丘,周口,平顶山,长沙,岳阳,邵阳,常德,娄底,株洲,合肥,阜阳,蚌埠,安庆,六安,南昌,九江,新余,上饶,宜春,赣州,抚州,苏州,南京,徐州,重庆,青岛,济南,成都,北京,哈尔滨,上海,福州,莆田,厦门,沧州,南宁,西安,昆明,三亚,晋中,沈阳,贵阳,天津,兰州,长春,银川,乌鲁木齐
2020/1/24,70,22,0,2,0,0,0,1,7,0,0,1,2,0,0,0,2,3,4,4,1,3,13,0,1,0,3,0,0,1,0,4,3,0,0,3,1,1,2,1,1,2,2,1,1,0,0,0,1,2,3,0,18,4,2,7,10,1,0,5,0,3,1,0,2,3,2,0,2,1,0,1,1,1,0
2020/1/25,77,4,52,2,1,5,31,0,13,1,0,4,8,3,0,5,7,2,2,4,6,1,2,1,4,8,3,2,0,3,1,0,2,2,3,2,0,4,5,0,3,0,1,1,0,2,1,2,3,1,1,0,30,2,1,9,5,5,0,1,0,0,1,0,2,1,4,0,3,0,0,1,0,0,3
2020/1/26,46,29,58,23,7,31,0,19,17,0,43,15,1,2,0,11,3,2,1,8,15,7,1,1,17,7,14,5,0,1,1,10,1,0,4,0,2,3,3,0,1,1,1,0,0,4,4,5,2,4,3,0,18,2,2,6,27,2,0,7,1,1,0,1,4,0,2,2,1,0,14,2,0,1,0
2020/1/27,80,45,32,14,28,16,5,11,52,19,21,20,1,8,0,5,24,0,4,14,0,0,1,2,1,4,9,2,6,6,3,4,1,6,5,2,2,0,0,2,3,0,4,2,2,0,1,0,1,1,0,3,35,5,2,11,12,0,53,5,9,0,0,4,4,3,3,0,1,0,8,4,0,3,1
2020/1/28,892,73,59,24,34,18,17,20,24,37,27,25,15,10,0,21,10,0,4,28,5,4,0,2,6,7,8,1,1,4,0,2,10,3,7,2,2,3,11,0,0,1,9,5,0,1,4,3,1,4,3,5,22,2,3,4,11,2,13,6,4,1,3,0,3,5,3,3,1,0,2,3,0,2,1
2020/1/29,315,101,111,30,61,46,33,12,28,27,21,23,5,11,0,23,12,6,3,54,19,3,18,6,3,5,3,6,7,4,0,22,9,8,7,4,6,13,2,0,6,2,8,7,8,2,4,6,1,8,4,0,15,2,1,9,20,1,30,0,0,1,3,2,3,3,0,4,1,0,3,3,0,0,1
2020/1/30,356,125,172,50,32,27,27,54,49,39,18,31,23,10,0,18,31,8,4,58,18,21,24,7,10,20,6,9,4,6,3,11,3,10,4,3,5,10,5,5,4,2,21,15,0,2,0,5,4,4,5,7,35,4,3,13,3,2,16,6,3,1,4,8,4,6,0,0,0,0,4,0,3,2,1
2020/1/31,378,142,77,70,123,85,55,50,36,66,36,31,35,23,0,36,18,8,8,55,16,5,17,7,7,10,4,5,9,11,2,11,8,7,7,4,1,11,10,7,0,1,21,11,17,1,12,6,2,8,6,5,29,0,2,10,25,5,23,2,5,6,6,1,10,4,0,0,1,3,1,1,0,2,1
2020/2/1,576,87,153,66,61,76,41,109,24,38,40,27,7,15,87,36,38,4,6,14,13,9,14,7,21,5,6,10,2,2,1,18,8,5,2,6,3,9,9,1,13,4,16,1,12,4,3,3,3,2,3,3,36,0,2,3,29,7,34,7,3,4,1,0,7,5,1,2,3,0,9,8,3,4,0
2020/2/2,894,121,276,46,94,80,43,77,78,51,40,35,43,17,0,37,29,9,4,24,12,11,5,0,18,0,9,6,7,2,3,26,8,8,3,3,3,0,12,10,12,0,6,12,3,3,2,4,6,4,7,7,28,3,1,1,23,9,13,5,2,1,0,0,8,1,2,2,4,2,7,0,6,1,0
2020/2/3,1033,169,244,166,107,74,82,39,16,28,50,44,29,16,0,38,21,8,2,26,8,9,9,2,11,22,7,12,14,7,5,13,17,2,3,6,1,16,6,11,4,7,14,9,7,13,5,1,5,6,5,6,37,2,3,4,21,11,21,3,7,1,0,6,8,1,1,2,0,1,12,3,4,3,2
2020/2/4,1242,202,176,114,84,183,71,60,55,26,52,35,19,2,0,26,24,9,4,49,14,27,6,4,13,15,13,14,10,5,9,23,13,4,5,5,8,6,14,6,8,10,18,14,9,18,9,7,5,8,4,3,32,6,3,10,16,18,16,6,3,1,1,5,5,2,0,4,3,3,7,4,1,1,2
2020/2/5,1967,342,223,100,103,65,104,44,22,50,36,27,37,11,0,20,25,8,1,24,9,18,7,4,26,8,7,10,1,4,6,16,6,13,6,5,4,12,5,5,1,4,13,8,10,19,3,6,10,3,3,6,32,3,4,5,25,10,24,2,1,1,0,1,10,1,4,2,5,2,2,0,10,0,0
2020/2/6,1766,424,162,88,52,128,57,67,86,41,15,35,40,10,0,25,21,1,7,32,10,6,2,3,26,4,10,16,4,3,7,15,4,6,6,6,3,11,11,16,4,2,15,6,9,9,6,4,2,5,5,0,24,6,5,5,21,9,14,1,4,0,1,2,4,5,8,5,0,3,9,0,1,5,3
2020/2/7,1501,255,90,84,51,81,69,47,45,48,44,42,42,25,0,23,15,3,2,25,5,10,5,1,12,7,10,8,7,1,5,11,14,9,2,2,5,11,10,24,6,5,13,3,9,8,8,7,10,9,5,4,15,3,7,5,23,12,20,1,2,2,2,1,6,1,4,1,2,3,3,2,3,2,3
2020/2/8,1985,172,144,56,69,38,68,23,35,98,33,43,52,16,0,15,16,7,5,17,6,5,4,4,16,10,8,7,4,2,2,6,4,3,2,6,2,13,8,11,5,10,6,2,8,6,5,5,3,3,8,3,13,2,1,7,18,6,9,2,3,2,5,1,8,0,3,3,1,0,7,1,0,2,1
2020/2/9,1379,123,100,56,81,31,57,78,75,70,17,29,20,18,0,12,6,0,3,10,3,5,5,1,13,5,6,3,6,0,2,9,4,1,0,5,10,8,5,16,4,3,11,3,5,6,7,5,4,3,6,4,22,3,1,11,11,14,7,3,0,0,0,3,8,1,4,2,0,6,2,0,5,0,1
2020/2/10,1920,105,111,48,31,65,45,38,0,86,14,14,37,20,0,3,7,2,3,16,0,3,3,0,15,1,4,7,1,3,2,8,9,2,6,2,3,11,7,11,3,3,10,1,5,5,3,2,1,2,7,4,23,4,1,3,11,14,6,1,4,3,0,2,2,3,2,0,0,3,5,0,2,0,0
2020/2/11,1552,101,80,30,44,46,30,23,15,65,8,24,22,44,0,6,3,1,0,10,2,2,2,0,8,2,2,3,3,0,2,6,10,2,1,3,7,3,7,8,2,2,6,0,5,8,6,1,3,3,6,3,16,0,2,1,5,18,4,0,0,3,4,4,6,1,3,1,1,2,10,2,1,2,0
2020/2/12,1104,109,66,35,25,34,39,12,40,71,10,31,22,32,0,11,6,1,8,7,2,2,0,1,3,2,5,2,0,1,1,4,12,3,2,0,3,7,6,7,0,0,9,4,7,5,5,0,1,4,3,3,20,0,1,1,10,4,8,1,1,1,5,3,6,0,8,1,1,2,7,0,2,1,0
2020/2/13,13436,123,264,321,13,31,37,26,231,204,9,26,20,69,0,5,4,2,3,9,3,0,1,1,9,7,4,6,1,2,1,5,2,5,2,3,4,4,4,5,0,1,6,4,4,3,7,4,1,1,3,5,16,0,0,6,14,9,4,0,2,2,5,0,4,2,0,1,0,2,5,0,0,1,1
2020/2/14,2997,135,129,16,10,46,32,67,0,60,198,24,20,54,0,9,1,2,1,6,3,0,0,0,3,1,1,3,1,1,1,10,1,1,1,1,2,5,4,3,1,1,7,5,3,3,6,0,2,0,1,5,7,2,0,4,6,5,3,2,0,0,3,3,0,0,0,0,0,1,3,0,1,0,2
2020/2/15,1923,105,26,31,17,26,37,29,1,67,108,11,14,6,0,6,7,4,2,3,1,1,1,0,9,4,2,1,2,1,1,3,4,0,0,2,1,2,4,4,1,2,5,1,3,1,1,0,1,1,0,1,6,1,0,4,3,3,8,0,1,0,1,2,0,0,0,0,0,0,2,0,1,1,0
2020/2/16,1548,87,6,12,16,22,8,0,7,38,12,5,9,25,0,8,3,1,0,3,0,1,1,0,9,1,4,0,1,1,0,0,1,1,1,0,0,1,2,4,0,2,5,2,2,0,2,0,0,0,1,1,9,1,0,1,5,15,2,2,0,0,1,1,0,3,0,0,0,0,2,0,1,0,0
